sessionId,stationId,distanceKm,durationMin,durationInTrafficMin,energyNominalKwh,energyNeededKwh,chargingPoints,temperatureC,windSpeedMs,windDirectionDeg,cost,roadTrafficCondition,congestionLevel,payAtLocation,operator,connectionType,currentType,selected
6a7345276502511021153496,674f97ff3dc8e5d2ac00868b,1.7,5.0,5.0,0.194,0.271,4.0,6.9,2.29,280.0,,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),1
6a7345276502511021153496,674f97ff3dc8e5d2ac0083e4,4.9,9.0,9.0,0.51,0.714,1.0,6.9,2.29,280.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a7345276502511021153496,674f97ff3dc8e5d2ac00843c,,,,,,1.0,,,,,unknown,unknown,unknown,unknown,type 2 (socket only),unknown,0
6a7345276502511021153496,674f97ff3dc8e5d2ac008478,2.6,8.0,6.0,0.148,0.207,1.0,6.9,2.29,280.0,,light,unknown,unknown,unknown,chademo,unknown,0
6a7345276502511021153496,674f97ff3dc8e5d2ac008533,,,,,,1.0,,,,,unknown,unknown,unknown,evie networks,chademo,unknown,0
6a7345276502511021153496,674f97ff3dc8e5d2ac008684,5.6,12.0,10.0,0.419,0.587,1.0,6.9,2.29,280.0,0.3,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a7345276502511021153496,674f97ff3dc8e5d2ac008685,5.5,12.0,10.0,0.417,0.584,1.0,6.9,2.29,280.0,0.25,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a7345276502511021153496,674f98013dc8e5d2ac00873b,2.6,8.0,6.0,0.148,0.207,2.0,6.9,2.29,280.0,0.45,light,unknown,no,chargefox,ccs (type 2),dc,0
6a7345276502511021153496,674f98013dc8e5d2ac0087cf,8.3,15.0,12.0,0.64,0.896,1.0,6.9,2.29,280.0,,light,unknown,no,(unknown operator),type 2 (tethered connector),ac (three-phase),0
6a7345276502511021153496,674f98013dc8e5d2ac008883,7.9,16.0,12.0,0.717,1.003,2.0,6.9,2.29,280.0,,light,unknown,unknown,(unknown operator),type 2 (socket only),ac (single-phase),0
6a7696f5f17427d6b91a3d33,674f97ff3dc8e5d2ac00868b,1.5,5.0,5.0,0.151,0.211,4.0,15.4,4.18,25.0,,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),1
6a7696f5f17427d6b91a3d33,674f97ff3dc8e5d2ac0083e4,4.8,9.0,10.0,0.488,0.684,1.0,15.4,4.18,25.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a7696f5f17427d6b91a3d33,674f97ff3dc8e5d2ac00843c,8.0,15.0,16.0,0.714,0.999,1.0,15.4,4.18,25.0,,light,unknown,unknown,unknown,type 2 (socket only),unknown,0
6a7696f5f17427d6b91a3d33,674f97ff3dc8e5d2ac008478,2.6,8.0,8.0,0.131,0.184,1.0,15.4,4.18,25.0,,light,unknown,unknown,unknown,chademo,unknown,0
6a7696f5f17427d6b91a3d33,674f97ff3dc8e5d2ac008533,5.8,10.0,10.0,0.828,1.16,1.0,15.4,4.18,25.0,,light,unknown,unknown,evie networks,chademo,unknown,0
6a7696f5f17427d6b91a3d33,674f97ff3dc8e5d2ac008684,5.6,12.0,13.0,0.357,0.5,1.0,15.4,4.18,25.0,0.3,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a7696f5f17427d6b91a3d33,674f97ff3dc8e5d2ac008685,5.5,12.0,13.0,0.358,0.501,1.0,15.4,4.18,25.0,0.25,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a7696f5f17427d6b91a3d33,674f98013dc8e5d2ac00873b,2.6,8.0,8.0,0.131,0.184,2.0,15.4,4.18,25.0,0.45,light,unknown,no,chargefox,ccs (type 2),dc,0
6a7696f5f17427d6b91a3d33,674f98013dc8e5d2ac0087cf,9.8,15.0,15.0,0.819,1.147,1.0,15.4,4.18,25.0,,light,unknown,no,(unknown operator),type 2 (tethered connector),ac (three-phase),0
6a7696f5f17427d6b91a3d33,674f98013dc8e5d2ac008883,8.3,14.0,15.0,0.758,1.061,2.0,15.4,4.18,25.0,,light,unknown,unknown,(unknown operator),type 2 (socket only),ac (single-phase),0
6a76a2f5f17427d6b91f829b,674f97ff3dc8e5d2ac00868b,1.5,5.0,5.0,0.151,0.212,4.0,16.1,4.52,18.0,,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),1
6a76a2f5f17427d6b91f829b,674f97ff3dc8e5d2ac0083e4,4.9,9.0,9.0,0.492,0.688,1.0,16.1,4.52,18.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a2f5f17427d6b91f829b,674f97ff3dc8e5d2ac00843c,8.2,16.0,16.0,0.779,1.091,1.0,16.1,4.52,18.0,,light,unknown,unknown,unknown,type 2 (socket only),unknown,0
6a76a2f5f17427d6b91f829b,674f97ff3dc8e5d2ac008478,2.6,8.0,8.0,0.131,0.184,1.0,16.1,4.52,18.0,,light,unknown,unknown,unknown,chademo,unknown,0
6a76a2f5f17427d6b91f829b,674f97ff3dc8e5d2ac008533,5.8,10.0,10.0,0.824,1.153,1.0,16.1,4.52,18.0,,light,unknown,unknown,evie networks,chademo,unknown,0
6a76a2f5f17427d6b91f829b,674f97ff3dc8e5d2ac008684,5.6,12.0,13.0,0.359,0.502,1.0,16.1,4.52,18.0,0.3,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a2f5f17427d6b91f829b,674f97ff3dc8e5d2ac008685,5.6,12.0,12.0,0.359,0.503,1.0,16.1,4.52,18.0,0.25,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a2f5f17427d6b91f829b,674f98013dc8e5d2ac00873b,2.6,8.0,8.0,0.131,0.184,2.0,16.1,4.52,18.0,0.45,light,unknown,no,chargefox,ccs (type 2),dc,0
6a76a2f5f17427d6b91f829b,674f98013dc8e5d2ac0087cf,8.3,15.0,15.0,0.521,0.729,1.0,16.1,4.52,18.0,,light,unknown,no,(unknown operator),type 2 (tethered connector),ac (three-phase),0
6a76a2f5f17427d6b91f829b,674f98013dc8e5d2ac008883,8.0,15.0,15.0,0.705,0.988,2.0,16.1,4.52,18.0,,light,unknown,unknown,(unknown operator),type 2 (socket only),ac (single-phase),0
6a76a382f17427d6b91fe043,674f97ff3dc8e5d2ac008355,0.9,4.0,5.0,0.055,0.085,4.0,16.5,4.68,20.0,,moderate,unknown,unknown,unknown,unknown,unknown,1
6a76a382f17427d6b91fe043,674f97ff3dc8e5d2ac0083c9,3.6,9.0,9.0,0.324,0.453,2.0,20.0,0.0,0.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a382f17427d6b91fe043,674f97ff3dc8e5d2ac0083e4,11.0,18.0,18.0,1.329,1.86,1.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a382f17427d6b91fe043,674f97ff3dc8e5d2ac008478,8.2,13.0,13.0,1.01,1.414,1.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,chademo,unknown,0
6a76a382f17427d6b91fe043,674f97ff3dc8e5d2ac008533,6.8,13.0,14.0,1.131,1.583,1.0,20.0,0.0,0.0,,light,unknown,unknown,evie networks,chademo,unknown,0
6a76a382f17427d6b91fe043,674f97ff3dc8e5d2ac008684,7.4,13.0,13.0,0.769,1.077,1.0,16.5,4.68,20.0,0.3,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a382f17427d6b91fe043,674f97ff3dc8e5d2ac008685,7.3,13.0,13.0,0.761,1.066,1.0,16.5,4.68,20.0,0.25,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a382f17427d6b91fe043,674f97ff3dc8e5d2ac00868b,9.9,17.0,18.0,1.284,1.798,4.0,16.5,4.68,20.0,,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a382f17427d6b91fe043,674f98013dc8e5d2ac00873b,8.2,13.0,13.0,0.898,1.258,2.0,20.0,0.0,0.0,0.45,light,unknown,no,chargefox,ccs (type 2),dc,0
6a76a382f17427d6b91fe043,674f98013dc8e5d2ac0087cf,3.5,7.0,8.0,0.261,0.365,1.0,16.5,4.68,20.0,,light,unknown,no,(unknown operator),type 2 (tethered connector),ac (three-phase),0
6a76a3acf17427d6b91ffb17,674f97ff3dc8e5d2ac008685,4.8,9.0,9.0,0.515,0.722,1.0,16.5,4.68,20.0,0.25,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),1
6a76a3acf17427d6b91ffb17,674f97ff3dc8e5d2ac008355,3.9,11.0,13.0,0.446,0.624,4.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a3acf17427d6b91ffb17,674f97ff3dc8e5d2ac0083c9,7.1,14.0,14.0,0.668,0.935,2.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a3acf17427d6b91ffb17,674f97ff3dc8e5d2ac0083e4,8.4,14.0,14.0,1.019,1.426,1.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,unknown,unknown,0
6a76a3acf17427d6b91ffb17,674f97ff3dc8e5d2ac008478,5.7,10.0,9.0,0.684,0.958,1.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,chademo,unknown,0
6a76a3acf17427d6b91ffb17,674f97ff3dc8e5d2ac008533,5.7,10.0,10.0,1.032,1.444,1.0,16.5,4.68,20.0,,light,unknown,unknown,evie networks,chademo,unknown,0
6a76a3acf17427d6b91ffb17,674f97ff3dc8e5d2ac008684,4.9,9.0,9.0,0.527,0.737,1.0,16.5,4.68,20.0,0.3,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a3acf17427d6b91ffb17,674f97ff3dc8e5d2ac00868b,7.9,13.0,13.0,1.091,1.528,4.0,16.5,4.68,20.0,,light,unknown,no,chargefox,type 2 (socket only),ac (three-phase),0
6a76a3acf17427d6b91ffb17,674f98013dc8e5d2ac00873b,5.7,10.0,9.0,0.684,0.958,2.0,16.5,4.68,20.0,0.45,light,unknown,no,chargefox,ccs (type 2),dc,0
6a76a3acf17427d6b91ffb17,674f98013dc8e5d2ac0087cf,3.1,6.0,6.0,0.31,0.434,1.0,16.5,4.68,20.0,,light,unknown,no,(unknown operator),type 2 (tethered connector),ac (three-phase),0
6a76a555f17427d6b920bce9,674f98013dc8e5d2ac0087cf,7.3,14.0,15.0,0.587,0.822,1.0,16.5,4.68,20.0,,light,unknown,no,(unknown operator),type 2 (tethered connector),ac (three-phase),1
6a76a555f17427d6b920bce9,674f97ff3dc8e5d2ac008355,4.5,9.0,10.0,0.234,0.328,4.0,16.5,4.68,20.0,,light,unknown,unknown,unknown,unknown,unknown,0
